001	DEPOSITADO	0	Acompanhar o pedido em questão na RPI.	Depositado o PEDIDO DE REGISTRO DA MARCA em questão.	FALSO	FALSO
002	ARQUIVAMENTO	0	Analisar despacho.	ARQUIVADO, in limine, o pedido de registro, com base no inciso III do  Art. 155  c/c o inciso III do  Art. 219  da  LPI,  tendo em vista o REAPROVEITAMENTO DA GUIA BANCÁRIA, anteriormente ane - xada ao processo indicado no complemento, ENCERRANDO-SE A INSTÂNCIA ADMINISTRATIVA.	VERDADEIRO	FALSO
003	PEDIDO PUBLICADO	0	Acompanhar pedido.	PUBLICADO o pedido de registro, de acordo com o Artigo 158 da LPI	FALSO	FALSO
004	REPUBLICADO PEDIDO	0	Acompanhar pedido na RPI	REPUBLICADO o pedido de registro, tendo em vista o disposto no complemento	FALSO	FALSO
009	OPOSIÇÃO	60	Apresentar Manifestação sobre oposição	OPOSIÇÃO de terceiro indicado, face a publicação do pedido  de registro	FALSO	FALSO
010	EXIGÊNCIA	60	Apresentar procuração no prazo legal	Apresente/Reapresente PROCURAÇÃO, observando o disposto no  complemento.	FALSO	FALSO
011	EXIGÊNCIA FORMAL	5	Cumprir exigência	Senhor depositante, seu pedido de registro de marca apresentou inconsistência nos dados preenchidos e/ou documentos enviados, razão pela qual sofreu exigência formal, que deverá ser cumprida no prazo de 05 (cinco) dias contínuos, contados a partir do dia subseqüente à data de publicação desta RPI, sob pena de ser considerado inexistente o pedido de registro de marca (art. 157 da LPI).	FALSO	FALSO
012	EXIGÊNCIA FORMAL	60	Cumprir exigência	A petição enviada apresentou inconsistência nos dados preenchidos e/ou documentos apresentados, razão pela qual sofreu exigência de conformidade, que deverá ser cumprida no prazo de 60 (sessenta) dias contínuos, contados a partir do dia subseqüente à data de publicação desta RPI.	FALSO	FALSO
015	EXIGÊNCIA	60	Apresente documentos no prazo legal	Apresente cópia do CONTRATO/ESTATUTO SOCIAL à epoca do depósito.	FALSO	FALSO
025	EXIGÊNCIA	60	Recolha taxas devidas no prazo legal	Recolha e/ou complemente a RETRIBUIÇÃO devida,no exato va-lor fixado na tabela, em vigor na data da comprovacao do  cumpri-mento desta exigência, junto ao  INPI,  observando o disposto  no complemento.  Recolha, também, a retribuição para  cumprimento da exigência.	FALSO	FALSO
027	EXIGÊNCIA	60	Cumprir exigência	Especifique os PRODUTOS/SERVICOS enquadrando-os na CLAS-SIFICAÇÃO INTERNACIONAL recolhendo se for o caso a  RETRI-BUIÇÃO  referente ao decênio e a  expedição do certificado  exce-dente. Recolha tambem a RETRIBUICÃO de CUMPRIMENTO DE EXIGÊNCIA.	FALSO	FALSO
